CO,error,beam,ref,HCN,error,beam,ref,HCOp,error,beam,ref,CS,error,beam,ref,13CO,error,beam,ref,CI,error,beam,ref
322,29,40,http://arxiv.org/abs/1404.6090,14,2,40,http://arxiv.org/abs/1404.6090,21,3,40,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,6.5,1.9,40,http://arxiv.org/abs/1404.6090,1751,224,40,http://arxiv.org/abs/1404.6090
1492,253,40,http://arxiv.org/abs/1404.6090,44,7,40,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,7.5,1.5,40,http://arxiv.org/abs/1404.6090,26,4,40,http://arxiv.org/abs/1404.6090,3332,52,40,http://arxiv.org/abs/1404.6090
3205,642,40,http://arxiv.org/abs/1404.6090,74,7,40,http://arxiv.org/abs/1404.6090,141,21,40,http://arxiv.org/abs/1404.6090,9,2,40,http://arxiv.org/abs/1404.6090,nan,79,40,http://arxiv.org/abs/1404.6090,,,,
4634,371,40,http://arxiv.org/abs/1404.6090,41,6,40,http://arxiv.org/abs/1404.6090,74,9,40,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,nan,nan,nan,no,,,,
5635,149,40,http://arxiv.org/abs/1404.6090,,,,,,,,,nan,nan,nan,no,nan,nan,nan,no,,,,
5913,82,40,http://arxiv.org/abs/1404.6090,,,,,,,,,nan,nan,nan,no,112,67,40,http://arxiv.org/abs/1404.6090,,,,
6009,60,40,http://arxiv.org/abs/1404.6090,,,,,,,,,nan,32,40,http://arxiv.org/abs/1404.6090,,,,,,,,
5833,89,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
4769,82,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
4162,67,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
3161,74,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
2592,60,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
2081,60,40,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
