CO,error,beam,ref,13CO,error,beam,ref,HCN,error,beam,ref,HCOp,error,beam,ref,CS,error,beam,ref
322.0,29.0,nan,,6.887043790725066,2.0131358772888652,40.0,,14.31554502608085,2.045077860868693,40.0,,21.606508123331373,3.0866440176187675,40.0,,nan,nan,nan,
1595.0214374818831,270.4694528705874,40.0,,32.06208781425069,4.932628894500106,40.0,,50.81530702821069,8.0842533908517,40.0,,nan,nan,nan,,7.775494343508481,1.5550988687016962,40.0,
3701.433159668529,741.4415252752559,40.0,,nan,79.0,40.0,,77.76229902029698,7.355893150568633,40.0,,148.1687048900253,22.0676794517059,40.0,,9.969016348092122,2.2153369662426936,40.0,
4621.035193341353,369.9620320953047,40.0,,nan,nan,nan,,45.076588558816354,6.59657393543654,40.0,,81.35774520371733,9.894860903154811,40.0,,nan,nan,nan,
5688.448498505857,150.41327884247963,40.0,,nan,nan,nan,,,,,,,,,,nan,nan,nan,
6032.654733166612,83.65934180951498,40.0,,113.89368755028804,68.13283094526159,40.0,,,,,,,,,,nan,nan,nan,
6052.089675682984,60.4302513797602,40.0,,,,,,,,,,,,,,nan,35.18172765566155,40.0,
5826.4618206394525,88.9002403629198,40.0,,,,,,,,,,,,,,,,,
5188.15132918213,89.2070473879083,40.0,,,,,,,,,,,,,,,,,
4586.570046058218,73.83474125081706,40.0,,,,,,,,,,,,,,,,,
3487.2021125794718,81.63649361938656,40.0,,,,,,,,,,,,,,,,,
2874.2937369231154,66.53457724359063,40.0,,,,,,,,,,,,,,,,,
2316.9389277535593,66.80266009861296,40.0,,,,,,,,,,,,,,,,,
