CO,error,beam,ref,13CO,error,beam,ref,HCN,error,beam,ref
199.87364517469703,16.48442434430491,40.0,this work,6.6982957008834365,1.9579633587197736,40.0,this work,6.254299771132483,0.907882224841812,40.0,this work
880.4096346038898,67.32544264617981,40.0,this work,30.475783980499287,4.688582150846044,40.0,this work,nan,nan,nan,no
1425.4605837668876,94.18615140036236,40.0,this work,,,,,12.615689445545325,2.4615979405942094,40.0,this work
1602.3082090657042,132.9426024989012,40.0,this work,,,,,nan,10.58175605292188,40.0,this work
1371.9310710598763,143.62089543306172,40.0,this work,,,,,,,,
1381.7523050828365,62.577533173948765,40.0,this work,,,,,,,,
1181.3469217072925,38.10796521636428,40.0,this work,,,,,,,,
1034.912839911795,45.951728413071976,40.0,this work,,,,,,,,
885.8192442840858,81.86481167554348,40.0,this work,,,,,,,,
701.1085449877402,27.535985150575897,40.0,this work,,,,,,,,
393.23970292847383,59.35693629109039,40.0,this work,,,,,,,,
300.15553340863147,34.06020237261066,40.0,this work,,,,,,,,
134.5606983084909,37.37797175235858,40.0,this work,,,,,,,,
