CO,error,beam,ref,HCN,error,beam,ref,HCOp,error,beam,ref,CS,error,beam,ref,13CO,error,beam,ref,CI,error,beam,ref
322,29,nan,https://ui.adsabs.harvard.edu/abs/1999AJ....117.2632B/abstract,14,2,29.5,http://arxiv.org/abs/1404.6090,21,3,28.3,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,6.5,1.9,22.4,https://arxiv.org/pdf/astro-ph/0610378.pdf,1751,224,42,http://arxiv.org/abs/1404.6090
1492,253,20.8,https://arxiv.org/pdf/astro-ph/0610378.pdf,44,7,14,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,7.5,1.5,26,http://arxiv.org/abs/1404.6090,26,4,11.4,https://arxiv.org/pdf/astro-ph/0610378.pdf,3332,52,36,http://arxiv.org/abs/1404.6090
3205,642,14,https://arxiv.org/pdf/astro-ph/0610378.pdf,74,7,24,http://arxiv.org/abs/1404.6090,141,21,24,http://arxiv.org/abs/1404.6090,9,2,17,http://arxiv.org/abs/1404.6090,nan,79,40,http://arxiv.org/abs/1404.6090,,,,
4634,371,42.8,http://arxiv.org/abs/1404.6090,41,6,18,http://arxiv.org/abs/1404.6090,74,9,18,http://arxiv.org/abs/1404.6090,nan,nan,nan,no,nan,nan,nan,no,,,,
5635,149,35.2,http://arxiv.org/abs/1404.6090,,,,,,,,,nan,nan,nan,no,nan,nan,nan,no,,,,
5913,82,31.2,http://arxiv.org/abs/1404.6090,,,,,,,,,nan,nan,nan,no,112,67,32,http://arxiv.org/abs/1404.6090,,,,
6009,60,35.9,http://arxiv.org/abs/1404.6090,,,,,,,,,7.4,1,nan,https://arxiv.org/pdf/1412.5183.pdf,,,,,,,,
5833,89,40.1,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
4769,82,19,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
4162,67,17.4,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
3161,74,17.3,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
2592,60,16.9,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
2081,60,16.6,http://arxiv.org/abs/1404.6090,,,,,,,,,,,,,,,,,,,,
