CO,error,beam,ref,13CO,error,beam,ref,HCN,error,beam,ref,HCOp,error,beam,ref,CS,error,beam,ref
322.0,29.0,nan,this work,6.887043790725066,2.0131358772888652,40.0,this work,14.31554502608085,2.045077860868693,40.0,this work,21.606508123331373,3.0866440176187675,40.0,this work,nan,nan,nan,no
1595.0214374818831,135.2347264352937,40.0,this work,32.06208781425069,4.932628894500106,40.0,this work,50.81530702821069,8.0842533908517,40.0,this work,nan,nan,nan,no,7.775494343508481,1.5550988687016962,40.0,this work
3701.433159668529,370.72076263762796,40.0,this work,nan,79.0,40.0,this work,77.76229902029698,7.355893150568633,40.0,this work,148.1687048900253,22.0676794517059,40.0,this work,9.969016348092122,2.2153369662426936,40.0,this work
4621.035193341353,184.98101604765236,40.0,this work,nan,nan,nan,no,45.076588558816354,6.59657393543654,40.0,this work,81.35774520371733,9.894860903154811,40.0,this work,nan,nan,nan,no
5688.448498505857,75.20663942123981,40.0,this work,nan,nan,nan,no,,,,,,,,,nan,nan,nan,no
6032.654733166612,83.65934180951498,40.0,this work,113.89368755028804,68.13283094526159,40.0,this work,,,,,,,,,nan,nan,nan,no
6052.089675682984,60.4302513797602,40.0,this work,,,,,,,,,,,,,7.4,1.0,nan,this work
5826.4618206394525,88.9002403629198,40.0,this work,,,,,,,,,,,,,,,,
5188.15132918213,89.2070473879083,40.0,this work,,,,,,,,,,,,,,,,
4586.570046058218,73.83474125081706,40.0,this work,,,,,,,,,,,,,,,,
3487.2021125794718,81.63649361938656,40.0,this work,,,,,,,,,,,,,,,,
2874.2937369231154,66.53457724359063,40.0,this work,,,,,,,,,,,,,,,,
2316.9389277535593,66.80266009861296,40.0,this work,,,,,,,,,,,,,,,,
